DATE_NAME,GEOGRAPHY,GEOGRAPHY_NAME,GEOGRAPHY_CODE,C2021_ETH_20_NAME,OBS_VALUE
2021,650117137,Halton,E06000006,"White: English, Welsh, Scottish, Northern Irish or British",120301
2021,650117137,Halton,E06000006,White: Irish,685
2021,650117137,Halton,E06000006,White: Gypsy or Irish Traveller,91
2021,650117137,Halton,E06000006,White: Roma,68
2021,650117137,Halton,E06000006,White: Other White,2831
2021,650117137,Halton,E06000006,Other ethnic group: Arab,241
2021,650117137,Halton,E06000006,Other ethnic group: Any other ethnic group,523
2021,650117151,Knowsley,E08000011,"Asian, Asian British or Asian Welsh: Bangladeshi",32
2021,650117151,Knowsley,E08000011,"Asian, Asian British or Asian Welsh: Chinese",630
2021,650117151,Knowsley,E08000011,"Asian, Asian British or Asian Welsh: Indian",936
2021,650117151,Knowsley,E08000011,"Asian, Asian British or Asian Welsh: Pakistani",186
2021,650117151,Knowsley,E08000011,"Asian, Asian British or Asian Welsh: Other Asian",726
2021,650117151,Knowsley,E08000011,"Black, Black British, Black Welsh, Caribbean or African: African",964
2021,650117151,Knowsley,E08000011,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",130
2021,650117151,Knowsley,E08000011,"Black, Black British, Black Welsh, Caribbean or African: Other Black",170
2021,650117151,Knowsley,E08000011,Mixed or Multiple ethnic groups: White and Asian,577
2021,650117151,Knowsley,E08000011,Mixed or Multiple ethnic groups: White and Black African,653
2021,650117151,Knowsley,E08000011,Mixed or Multiple ethnic groups: White and Black Caribbean,740
2021,650117151,Knowsley,E08000011,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,688
2021,650117151,Knowsley,E08000011,"White: English, Welsh, Scottish, Northern Irish or British",142698
2021,650117151,Knowsley,E08000011,White: Irish,855
2021,650117151,Knowsley,E08000011,White: Gypsy or Irish Traveller,24
2021,650117151,Knowsley,E08000011,White: Roma,112
2021,650117151,Knowsley,E08000011,White: Other White,3545
2021,650117151,Knowsley,E08000011,Other ethnic group: Arab,289
2021,650117151,Knowsley,E08000011,Other ethnic group: Any other ethnic group,563
2021,650117150,Lancashire,E10000017,"Asian, Asian British or Asian Welsh: Bangladeshi",6550
2021,650117150,Lancashire,E10000017,"Asian, Asian British or Asian Welsh: Chinese",4581
2021,650117150,Lancashire,E10000017,"Asian, Asian British or Asian Welsh: Indian",25232
